,0,2000-01,2001-01,2002-01,2003-01,2004-01,2005-01,2006-01,2007-01,2008-01,2009-01,2010-01,2011-01,2012-01,2013-01,2014-01,2015-01,2016-01,2017-01,2018-01,2019-01,2000-02,2001-02,2002-02,2003-02,2004-02,2005-02,2006-02,2007-02,2008-02,2009-02,2010-02,2011-02,2012-02,2013-02,2014-02,2015-02,2016-02,2017-02,2018-02,2019-02,2000-03,2001-03,2002-03,2003-03,2004-03,2005-03,2006-03,2007-03,2008-03,2009-03,2010-03,2011-03,2012-03,2013-03,2014-03,2015-03,2016-03,2017-03,2018-03,2019-03,2000-04,2001-04,2002-04,2003-04,2004-04,2005-04,2006-04,2007-04,2008-04,2009-04,2010-04,2011-04,2012-04,2013-04,2014-04,2015-04,2016-04,2017-04,2018-04,2019-04,2000-05,2001-05,2002-05,2003-05,2004-05,2005-05,2006-05,2007-05,2008-05,2009-05,2010-05,2011-05,2012-05,2013-05,2014-05,2015-05,2016-05,2017-05,2018-05,2019-05,2000-06,2001-06,2002-06,2003-06,2004-06,2005-06,2006-06,2007-06,2008-06,2009-06,2010-06,2011-06,2012-06,2013-06,2014-06,2015-06,2016-06,2017-06,2018-06,2019-06,2000-07,2001-07,2002-07,2003-07,2004-07,2005-07,2006-07,2007-07,2008-07,2009-07,2010-07,2011-07,2012-07,2013-07,2014-07,2015-07,2016-07,2017-07,2018-07,2019-07,2000-08,2001-08,2002-08,2003-08,2004-08,2005-08,2006-08,2007-08,2008-08,2009-08,2010-08,2011-08,2012-08,2013-08,2014-08,2015-08,2016-08,2017-08,2018-08,2019-08,2000-09,2001-09,2002-09,2003-09,2004-09,2005-09,2006-09,2007-09,2008-09,2009-09,2010-09,2011-09,2012-09,2013-09,2014-09,2015-09,2016-09,2017-09,2018-09,2019-09,2000-10,2001-10,2002-10,2003-10,2004-10,2005-10,2006-10,2007-10,2008-10,2009-10,2010-10,2011-10,2012-10,2013-10,2014-10,2015-10,2016-10,2017-10,2018-10,2019-10,2000-11,2001-11,2002-11,2003-11,2004-11,2005-11,2006-11,2007-11,2008-11,2009-11,2010-11,2011-11,2012-11,2013-11,2014-11,2015-11,2016-11,2017-11,2018-11,2019-11,2000-12,2001-12,2002-12,2003-12,2004-12,2005-12,2006-12,2007-12,2008-12,2009-12,2010-12,2011-12,2012-12,2013-12,2014-12,2015-12,2016-12,2017-12,2018-12,2019-12
0,90077,100.0,56.00000000000001,60.0,69.0,100.0,100.0,100.0,71.0,75.0,24.0,56.99999999999999,66.0,16.0,44.0,22.0,64.0,73.0,64.0,59.0,71.0,100.0,100.0,64.0,27.0,100.0,100.0,100.0,56.00000000000001,49.0,36.0,65.0,79.0,28.999999999999996,21.0,66.0,60.0,79.0,44.0,47.0,54.0,100.0,91.0,94.0,100.0,100.0,100.0,100.0,65.0,65.0,27.0,65.0,54.0,36.0,19.0,46.0,82.0,62.0,72.0,22.0,64.0,100.0,97.0,59.0,100.0,100.0,100.0,100.0,33.0,38.0,28.000000000000004,48.0,38.0,65.0,22.0,69.0,68.0,77.0,76.0,64.0,68.0,100.0,33.0,91.0,100.0,100.0,100.0,100.0,51.0,28.999999999999996,43.0,28.000000000000004,15.0,51.0,15.0,73.0,80.0,85.0,65.0,84.0,68.0,100.0,70.0,62.0,100.0,100.0,100.0,100.0,56.99999999999999,15.0,20.0,44.0,34.0,25.0,44.0,69.0,80.0,81.0,65.0,55.00000000000001,71.0,100.0,89.0,56.00000000000001,100.0,100.0,100.0,100.0,30.0,15.0,10.0,38.0,16.0,25.0,30.0,56.99999999999999,60.0,75.0,80.0,56.99999999999999,50.0,100.0,85.0,70.0,100.0,100.0,100.0,100.0,31.0,32.0,22.0,51.0,28.000000000000004,27.0,27.0,62.0,93.0,74.0,78.0,53.0,60.0,100.0,92.0,37.0,100.0,100.0,100.0,100.0,51.0,23.0,31.0,72.0,21.0,64.0,33.0,45.0,81.0,45.0,57.99999999999999,80.0,65.0,100.0,92.0,44.0,100.0,100.0,100.0,100.0,75.0,54.0,14.000000000000002,48.0,50.0,60.0,43.0,76.0,62.0,69.0,47.0,82.0,67.0,100.0,82.0,49.0,100.0,100.0,100.0,100.0,47.0,37.0,49.0,30.0,49.0,69.0,24.0,49.0,77.0,66.0,49.0,79.0,73.0,100.0,71.0,84.0,100.0,100.0,100.0,100.0,59.0,60.0,74.0,20.0,55.00000000000001,42.0,21.0,61.0,61.0,53.0,65.0,62.0,43.0
1,6791,100.0,100.0,78.0,50.0,100.0,100.0,100.0,45.0,27.0,11.0,59.0,78.0,54.0,73.0,43.0,70.0,50.0,27.0,56.99999999999999,89.0,100.0,42.0,55.00000000000001,23.0,100.0,100.0,100.0,20.0,31.0,10.0,64.0,74.0,48.0,50.0,73.0,61.0,74.0,56.99999999999999,28.999999999999996,45.0,100.0,100.0,56.99999999999999,100.0,100.0,100.0,100.0,55.00000000000001,74.0,13.0,76.0,49.0,82.0,50.0,73.0,20.0,31.0,71.0,14.000000000000002,48.0,100.0,100.0,72.0,100.0,100.0,100.0,100.0,77.0,25.0,16.0,43.0,23.0,68.0,52.0,81.0,28.999999999999996,56.00000000000001,76.0,41.0,52.0,100.0,75.0,69.0,100.0,100.0,100.0,100.0,59.0,18.0,18.0,24.0,21.0,62.0,47.0,86.0,48.0,51.0,72.0,74.0,59.0,100.0,72.0,69.0,100.0,100.0,100.0,100.0,24.0,36.0,17.0,56.00000000000001,38.0,56.00000000000001,28.000000000000004,84.0,28.999999999999996,65.0,77.0,68.0,75.0,100.0,22.0,60.0,100.0,100.0,100.0,100.0,4.0,39.0,31.0,63.0,28.000000000000004,7.000000000000001,37.0,79.0,34.0,61.0,78.0,60.0,24.0,100.0,83.0,81.0,100.0,100.0,100.0,100.0,16.0,37.0,13.0,32.0,41.0,68.0,17.0,79.0,72.0,40.0,85.0,62.0,21.0,100.0,90.0,88.0,100.0,100.0,100.0,100.0,49.0,25.0,47.0,57.99999999999999,30.0,56.99999999999999,34.0,74.0,28.999999999999996,48.0,82.0,57.99999999999999,20.0,100.0,100.0,89.0,100.0,100.0,100.0,100.0,79.0,34.0,21.0,50.0,27.0,73.0,53.0,74.0,49.0,55.00000000000001,67.0,38.0,28.000000000000004,100.0,62.0,63.0,100.0,100.0,100.0,100.0,31.0,37.0,40.0,51.0,51.0,59.0,55.00000000000001,82.0,52.0,38.0,68.0,71.0,39.0,100.0,53.0,44.0,100.0,100.0,100.0,100.0,15.0,18.0,66.0,61.0,53.0,86.0,66.0,79.0,47.0,30.0,59.0,62.0,44.0
2,14042,100.0,36.0,45.0,49.0,100.0,100.0,100.0,77.0,35.0,53.0,77.0,28.000000000000004,7.000000000000001,22.0,54.0,68.0,71.0,47.0,49.0,84.0,100.0,3.0,7.000000000000001,67.0,100.0,100.0,100.0,50.0,36.0,52.0,82.0,45.0,13.0,28.999999999999996,70.0,68.0,68.0,44.0,13.0,36.0,100.0,100.0,18.0,100.0,100.0,100.0,100.0,66.0,38.0,28.999999999999996,39.0,31.0,42.0,43.0,79.0,88.0,76.0,37.0,5.0,59.0,100.0,41.0,78.0,100.0,100.0,100.0,100.0,68.0,27.0,8.0,28.999999999999996,30.0,27.0,48.0,71.0,62.0,89.0,76.0,45.0,70.0,100.0,100.0,37.0,100.0,100.0,100.0,100.0,46.0,20.0,7.000000000000001,22.0,34.0,42.0,61.0,87.0,48.0,77.0,70.0,89.0,87.0,100.0,32.0,26.0,100.0,100.0,100.0,100.0,45.0,18.0,6.0,61.0,65.0,19.0,56.99999999999999,83.0,51.0,93.0,70.0,49.0,96.0,100.0,37.0,73.0,100.0,100.0,100.0,100.0,64.0,27.0,10.0,34.0,35.0,12.0,59.0,80.0,56.99999999999999,95.0,84.0,53.0,83.0,100.0,69.0,51.0,100.0,100.0,100.0,100.0,53.0,22.0,7.000000000000001,22.0,56.00000000000001,49.0,37.0,68.0,93.0,89.0,80.0,46.0,74.0,100.0,60.0,54.0,100.0,100.0,100.0,100.0,79.0,19.0,41.0,52.0,27.0,71.0,19.0,67.0,66.0,72.0,81.0,47.0,57.99999999999999,100.0,90.0,50.0,100.0,100.0,100.0,100.0,65.0,43.0,16.0,52.0,56.99999999999999,79.0,17.0,55.00000000000001,49.0,78.0,65.0,47.0,63.0,100.0,32.0,30.0,100.0,100.0,100.0,100.0,46.0,45.0,23.0,30.0,59.0,54.0,62.0,52.0,81.0,52.0,53.0,77.0,53.0,100.0,8.0,87.0,100.0,100.0,100.0,100.0,32.0,67.0,69.0,62.0,22.0,67.0,40.0,44.0,61.0,42.0,54.0,61.0,39.0
3,14133,100.0,44.0,28.999999999999996,44.0,100.0,100.0,100.0,74.0,39.0,69.0,23.0,42.0,27.0,44.0,31.0,75.0,81.0,67.0,73.0,82.0,100.0,100.0,8.0,43.0,100.0,100.0,100.0,48.0,63.0,18.0,41.0,48.0,42.0,50.0,80.0,57.99999999999999,73.0,59.0,62.0,48.0,100.0,100.0,55.00000000000001,100.0,100.0,100.0,100.0,67.0,72.0,13.0,53.0,30.0,22.0,42.0,86.0,83.0,63.0,54.0,37.0,72.0,100.0,25.0,78.0,100.0,100.0,100.0,100.0,57.99999999999999,31.0,8.0,54.0,18.0,39.0,45.0,80.0,71.0,78.0,76.0,57.99999999999999,83.0,100.0,27.0,54.0,100.0,100.0,100.0,100.0,37.0,24.0,20.0,39.0,10.0,47.0,40.0,92.0,69.0,72.0,75.0,74.0,89.0,100.0,41.0,22.0,100.0,100.0,100.0,100.0,44.0,31.0,32.0,41.0,28.000000000000004,28.000000000000004,35.0,82.0,67.0,93.0,71.0,61.0,92.0,100.0,69.0,84.0,100.0,100.0,100.0,100.0,36.0,36.0,24.0,19.0,21.0,21.0,36.0,78.0,63.0,90.0,87.0,56.99999999999999,76.0,100.0,48.0,72.0,100.0,100.0,100.0,100.0,15.0,35.0,33.0,33.0,19.0,53.0,37.0,72.0,80.0,89.0,79.0,56.99999999999999,80.0,100.0,20.0,66.0,100.0,100.0,100.0,100.0,31.0,53.0,15.0,44.0,16.0,85.0,28.999999999999996,78.0,56.00000000000001,72.0,79.0,76.0,75.0,100.0,53.0,1.0,100.0,100.0,100.0,100.0,34.0,47.0,8.0,71.0,35.0,76.0,56.99999999999999,77.0,56.00000000000001,77.0,69.0,75.0,69.0,100.0,60.0,6.0,100.0,100.0,100.0,100.0,15.0,45.0,27.0,43.0,56.00000000000001,54.0,64.0,39.0,86.0,67.0,57.99999999999999,85.0,71.0,100.0,21.0,67.0,100.0,100.0,100.0,100.0,20.0,71.0,48.0,49.0,53.0,24.0,45.0,38.0,67.0,65.0,69.0,85.0,74.0
4,6315,100.0,65.0,85.0,78.0,100.0,100.0,100.0,50.0,40.0,5.0,30.0,34.0,22.0,77.0,28.999999999999996,83.0,48.0,56.00000000000001,89.0,87.0,100.0,73.0,46.0,57.99999999999999,100.0,100.0,100.0,30.0,32.0,5.0,37.0,32.0,26.0,37.0,61.0,74.0,68.0,82.0,81.0,51.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,59.0,84.0,8.0,41.0,16.0,38.0,27.0,66.0,38.0,49.0,90.0,70.0,69.0,100.0,100.0,93.0,100.0,100.0,100.0,100.0,67.0,62.0,10.0,31.0,15.0,32.0,30.0,73.0,37.0,74.0,90.0,62.0,59.0,100.0,6.0,97.0,100.0,100.0,100.0,100.0,67.0,43.0,16.0,28.999999999999996,8.0,25.0,28.000000000000004,76.0,47.0,56.00000000000001,93.0,84.0,55.00000000000001,100.0,40.0,78.0,100.0,100.0,100.0,100.0,50.0,46.0,13.0,47.0,20.0,21.0,20.0,73.0,32.0,69.0,84.0,90.0,64.0,100.0,44.0,81.0,100.0,100.0,100.0,100.0,42.0,49.0,30.0,53.0,25.0,4.0,13.0,68.0,23.0,69.0,92.0,81.0,57.99999999999999,100.0,38.0,80.0,100.0,100.0,100.0,100.0,48.0,49.0,15.0,39.0,23.0,25.0,6.0,71.0,52.0,70.0,92.0,82.0,42.0,100.0,37.0,82.0,100.0,100.0,100.0,100.0,54.0,39.0,22.0,57.99999999999999,12.0,25.0,6.0,66.0,45.0,69.0,90.0,83.0,36.0,100.0,100.0,67.0,100.0,100.0,100.0,100.0,81.0,28.000000000000004,21.0,38.0,13.0,41.0,7.000000000000001,75.0,51.0,59.0,90.0,68.0,28.999999999999996,100.0,81.0,76.0,100.0,100.0,100.0,100.0,67.0,20.0,45.0,38.0,8.0,34.0,13.0,83.0,56.00000000000001,42.0,91.0,71.0,36.0,100.0,96.0,90.0,100.0,100.0,100.0,100.0,56.00000000000001,12.0,46.0,28.999999999999996,13.0,63.0,19.0,84.0,56.00000000000001,38.0,88.0,72.0,37.0
5,86077,100.0,84.0,55.00000000000001,67.0,100.0,100.0,100.0,73.0,55.00000000000001,20.0,54.0,73.0,12.0,26.0,34.0,76.0,70.0,73.0,60.0,90.0,100.0,100.0,23.0,10.0,100.0,100.0,100.0,48.0,35.0,14.000000000000002,69.0,77.0,23.0,42.0,60.0,77.0,68.0,69.0,38.0,72.0,100.0,100.0,16.0,100.0,100.0,100.0,100.0,67.0,31.0,9.0,65.0,67.0,19.0,27.0,76.0,84.0,62.0,68.0,31.0,74.0,100.0,76.0,60.0,100.0,100.0,100.0,100.0,64.0,17.0,11.0,53.0,54.0,45.0,24.0,64.0,66.0,79.0,80.0,28.999999999999996,88.0,100.0,75.0,52.0,100.0,100.0,100.0,100.0,30.0,15.0,10.0,72.0,57.99999999999999,57.99999999999999,23.0,90.0,66.0,46.0,76.0,66.0,94.0,100.0,40.0,42.0,100.0,100.0,100.0,100.0,31.0,14.000000000000002,8.0,79.0,73.0,60.0,38.0,94.0,63.0,48.0,67.0,40.0,96.0,100.0,30.0,82.0,100.0,100.0,100.0,100.0,25.0,18.0,7.000000000000001,60.0,60.0,36.0,48.0,86.0,62.0,84.0,84.0,44.0,93.0,100.0,65.0,39.0,100.0,100.0,100.0,100.0,47.0,27.0,6.0,49.0,43.0,62.0,16.0,69.0,92.0,82.0,84.0,56.99999999999999,93.0,100.0,95.0,69.0,100.0,100.0,100.0,100.0,36.0,23.0,16.0,42.0,56.00000000000001,56.00000000000001,18.0,74.0,80.0,73.0,80.0,85.0,89.0,100.0,91.0,20.0,100.0,100.0,100.0,100.0,43.0,32.0,6.0,54.0,38.0,49.0,32.0,70.0,72.0,84.0,74.0,84.0,88.0,100.0,30.0,77.0,100.0,100.0,100.0,100.0,65.0,32.0,20.0,41.0,48.0,52.0,37.0,75.0,70.0,75.0,59.0,78.0,91.0,100.0,84.0,83.0,100.0,100.0,100.0,100.0,60.0,9.0,65.0,46.0,16.0,54.0,18.0,78.0,75.0,79.0,55.00000000000001,79.0,78.0
6,14091,100.0,48.0,40.0,72.0,100.0,100.0,100.0,71.0,41.0,67.0,47.0,24.0,28.000000000000004,42.0,56.99999999999999,79.0,77.0,63.0,73.0,90.0,100.0,100.0,26.0,47.0,100.0,100.0,100.0,37.0,56.99999999999999,21.0,66.0,48.0,54.0,28.999999999999996,80.0,69.0,71.0,51.0,49.0,59.0,100.0,100.0,80.0,100.0,100.0,100.0,100.0,65.0,66.0,24.0,69.0,34.0,52.0,37.0,71.0,85.0,59.0,41.0,25.0,77.0,100.0,42.0,67.0,100.0,100.0,100.0,100.0,63.0,33.0,12.0,46.0,18.0,42.0,44.0,74.0,78.0,84.0,77.0,59.0,81.0,100.0,31.0,44.0,100.0,100.0,100.0,100.0,44.0,13.0,31.0,33.0,12.0,49.0,44.0,89.0,77.0,77.0,66.0,89.0,86.0,100.0,75.0,26.0,100.0,100.0,100.0,100.0,38.0,26.0,27.0,45.0,28.999999999999996,34.0,46.0,80.0,82.0,94.0,72.0,61.0,92.0,100.0,72.0,86.0,100.0,100.0,100.0,100.0,35.0,30.0,33.0,25.0,23.0,36.0,53.0,70.0,71.0,93.0,79.0,56.00000000000001,77.0,100.0,60.0,70.0,100.0,100.0,100.0,100.0,20.0,26.0,33.0,24.0,22.0,52.0,48.0,63.0,87.0,90.0,76.0,72.0,83.0,100.0,66.0,46.0,100.0,100.0,100.0,100.0,45.0,39.0,18.0,33.0,25.0,77.0,47.0,69.0,74.0,73.0,76.0,83.0,67.0,100.0,49.0,14.000000000000002,100.0,100.0,100.0,100.0,36.0,59.0,16.0,40.0,43.0,75.0,41.0,77.0,63.0,82.0,73.0,78.0,75.0,100.0,32.0,15.0,100.0,100.0,100.0,100.0,20.0,42.0,39.0,38.0,64.0,56.00000000000001,74.0,51.0,83.0,63.0,56.99999999999999,81.0,81.0,100.0,56.99999999999999,73.0,100.0,100.0,100.0,100.0,33.0,71.0,39.0,19.0,38.0,56.99999999999999,62.0,51.0,76.0,50.0,66.0,73.0,70.0
7,14126,100.0,48.0,35.0,37.0,100.0,100.0,100.0,73.0,54.0,73.0,26.0,39.0,31.0,50.0,37.0,75.0,79.0,59.0,76.0,84.0,100.0,100.0,31.0,40.0,100.0,100.0,100.0,32.0,61.0,27.0,42.0,60.0,50.0,53.0,79.0,66.0,71.0,48.0,67.0,60.0,100.0,100.0,56.99999999999999,100.0,100.0,100.0,100.0,60.0,78.0,28.000000000000004,50.0,37.0,37.0,46.0,85.0,83.0,62.0,34.0,40.0,82.0,100.0,48.0,64.0,100.0,100.0,100.0,100.0,59.0,35.0,12.0,40.0,16.0,54.0,44.0,77.0,74.0,82.0,74.0,68.0,84.0,100.0,50.0,46.0,100.0,100.0,100.0,100.0,42.0,24.0,27.0,31.0,12.0,49.0,35.0,91.0,73.0,77.0,70.0,85.0,87.0,100.0,82.0,50.0,100.0,100.0,100.0,100.0,47.0,36.0,34.0,42.0,36.0,28.999999999999996,39.0,82.0,69.0,93.0,73.0,68.0,92.0,100.0,64.0,89.0,100.0,100.0,100.0,100.0,48.0,45.0,36.0,22.0,21.0,23.0,43.0,74.0,64.0,92.0,84.0,57.99999999999999,80.0,100.0,56.99999999999999,72.0,100.0,100.0,100.0,100.0,18.0,38.0,37.0,32.0,18.0,69.0,38.0,72.0,84.0,89.0,77.0,61.0,84.0,100.0,28.999999999999996,66.0,100.0,100.0,100.0,100.0,41.0,67.0,18.0,39.0,20.0,88.0,26.0,72.0,63.0,71.0,82.0,82.0,77.0,100.0,65.0,12.0,100.0,100.0,100.0,100.0,37.0,62.0,14.000000000000002,55.00000000000001,32.0,78.0,47.0,77.0,59.0,81.0,73.0,78.0,73.0,100.0,62.0,26.0,100.0,100.0,100.0,100.0,19.0,54.0,31.0,44.0,54.0,60.0,66.0,48.0,84.0,61.0,60.0,85.0,76.0,100.0,35.0,76.0,100.0,100.0,100.0,100.0,39.0,75.0,42.0,22.0,51.0,46.0,56.00000000000001,56.00000000000001,73.0,57.99999999999999,67.0,81.0,79.0
8,14119,100.0,44.0,55.00000000000001,54.0,100.0,100.0,100.0,75.0,18.0,53.0,55.00000000000001,24.0,21.0,33.0,41.0,79.0,60.0,49.0,54.0,87.0,100.0,9.0,27.0,54.0,100.0,100.0,100.0,55.00000000000001,31.0,40.0,69.0,48.0,19.0,40.0,63.0,69.0,69.0,51.0,16.0,51.0,100.0,100.0,39.0,100.0,100.0,100.0,100.0,69.0,43.0,19.0,60.0,41.0,35.0,24.0,66.0,84.0,70.0,43.0,7.000000000000001,63.0,100.0,50.0,84.0,100.0,100.0,100.0,100.0,78.0,55.00000000000001,12.0,37.0,30.0,17.0,32.0,72.0,66.0,80.0,70.0,31.0,68.0,100.0,100.0,35.0,100.0,100.0,100.0,100.0,50.0,32.0,7.000000000000001,16.0,32.0,32.0,51.0,86.0,53.0,75.0,75.0,86.0,92.0,100.0,56.00000000000001,24.0,100.0,100.0,100.0,100.0,51.0,20.0,6.0,56.00000000000001,66.0,14.000000000000002,51.0,84.0,59.0,93.0,78.0,41.0,96.0,100.0,61.0,80.0,100.0,100.0,100.0,100.0,59.0,40.0,15.0,25.0,56.00000000000001,10.0,36.0,80.0,54.0,94.0,82.0,41.0,84.0,100.0,73.0,59.0,100.0,100.0,100.0,100.0,51.0,41.0,8.0,22.0,59.0,38.0,19.0,68.0,91.0,89.0,79.0,46.0,82.0,100.0,50.0,66.0,100.0,100.0,100.0,100.0,78.0,39.0,32.0,55.00000000000001,28.999999999999996,75.0,14.000000000000002,66.0,68.0,68.0,82.0,55.00000000000001,66.0,100.0,93.0,25.0,100.0,100.0,100.0,100.0,63.0,63.0,13.0,53.0,51.0,71.0,15.0,53.0,44.0,74.0,67.0,60.0,66.0,100.0,57.99999999999999,17.0,100.0,100.0,100.0,100.0,47.0,64.0,17.0,43.0,64.0,38.0,64.0,54.0,73.0,61.0,52.0,67.0,61.0,100.0,30.0,81.0,100.0,100.0,100.0,100.0,36.0,84.0,52.0,40.0,44.0,70.0,37.0,62.0,62.0,59.0,52.0,62.0,64.0
9,62077,100.0,88.0,75.0,66.0,100.0,100.0,100.0,71.0,55.00000000000001,36.0,21.0,55.00000000000001,51.0,47.0,35.0,74.0,75.0,76.0,84.0,81.0,100.0,22.0,81.0,49.0,100.0,100.0,100.0,48.0,59.0,32.0,37.0,45.0,50.0,33.0,28.999999999999996,85.0,86.0,87.0,83.0,72.0,100.0,100.0,33.0,100.0,100.0,100.0,100.0,75.0,33.0,18.0,77.0,27.0,84.0,82.0,22.0,72.0,67.0,88.0,70.0,82.0,100.0,100.0,43.0,100.0,100.0,100.0,100.0,46.0,28.999999999999996,12.0,37.0,27.0,42.0,75.0,91.0,78.0,54.0,90.0,62.0,72.0,100.0,78.0,79.0,100.0,100.0,100.0,100.0,43.0,63.0,39.0,56.00000000000001,15.0,37.0,50.0,89.0,59.0,79.0,65.0,76.0,60.0,100.0,85.0,47.0,100.0,100.0,100.0,100.0,26.0,51.0,28.999999999999996,67.0,13.0,61.0,34.0,75.0,53.0,86.0,80.0,68.0,89.0,100.0,80.0,44.0,100.0,100.0,100.0,100.0,30.0,41.0,57.99999999999999,55.00000000000001,13.0,22.0,64.0,73.0,39.0,81.0,81.0,74.0,71.0,100.0,82.0,68.0,100.0,100.0,100.0,100.0,22.0,38.0,45.0,20.0,30.0,47.0,63.0,82.0,66.0,81.0,79.0,62.0,72.0,100.0,47.0,86.0,100.0,100.0,100.0,100.0,68.0,38.0,28.000000000000004,51.0,14.000000000000002,41.0,61.0,88.0,65.0,63.0,74.0,76.0,72.0,100.0,80.0,34.0,100.0,100.0,100.0,100.0,51.0,22.0,12.0,33.0,74.0,19.0,67.0,87.0,51.0,86.0,66.0,84.0,59.0,100.0,85.0,68.0,100.0,100.0,100.0,100.0,41.0,24.0,17.0,24.0,63.0,23.0,60.0,72.0,52.0,81.0,82.0,92.0,75.0,100.0,62.0,84.0,100.0,100.0,100.0,100.0,42.0,26.0,32.0,21.0,41.0,24.0,45.0,74.0,66.0,82.0,83.0,89.0,76.0
