,1969/70,1970/71,1971/72,1972/73,1973/74,1974/75,1975/76,1976/77,1977/78,1978/79,1979/80,1980/81,1983/84,1984/85,1985/86,1986/87,1987/88,1981/82,1982/83,1989/90,1990/91,1991/92,1992/93,1993/94,1994/95,1995/96,1996/97,1997/98,1988/89,1998/99,1999/00,2008/09,2017/18,2000/01,2001/02,2002/03,2003/04,2004/05,2009/10,2010/11,2011/12,2005/06,2006/07,2007/08,2012/13,2013/14,2014/15,2015/16,2016/17,2018/19,2019/20
6854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,57.0,60.0,62.0,64.0,51.0,53.0,50.0,62.0,48.0,48.0,58.0,45.0,54.0,72.0,67.0,58.0,53.0,57.0,50.0,63.0,75.0,56.0,48.0,74.0,47.0,66.0,66.0,59.0,50.0,64.0,51.0,31.0,53.0,45.0,34.0,58.0,46.0,60.0,58.0,52.0,32.0,48.0,0.0
6014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,76.0,66.0,0.0,78.0,60.0,75.0,0.0,0.0,70.0,49.0,66.0,37.0,84.0,53.0,56.0,26.0,79.0,71.0,57.0,76.0,85.0,20.0,75.0,45.0,50.0,37.0,65.0,43.0,61.0,37.0,54.0,0.0,42.0,81.0,55.0,76.0,64.0,52.0,57.0,68.0,57.0,66.0,0.0
6021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,67.0,50.0,50.0,72.0,64.0,55.0,58.0,49.0,50.0,47.0,55.0,47.0,50.0,54.0,68.0,58.0,44.0,62.0,65.0,69.0,68.0,60.0,32.0,48.0,58.0,55.0,54.0,61.0,57.0,57.0,43.0,28.0,53.0,48.0,40.0,51.0,47.0,58.0,59.0,57.0,41.0,52.0,0.0
6028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,55.0,0.0,0.0,72.0,69.0,28.0,50.0,48.0,53.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,67.0,44.0,41.0,65.0,52.0,29.0,47.0,47.0,56.0,45.0,56.0,35.0,66.0,65.0,59.0,55.0,57.0,51.0,48.0,60.0,83.0,64.0,35.0,56.0,52.0,57.0,63.0,61.0,49.0,70.0,51.0,27.0,71.0,37.0,36.0,66.0,53.0,63.0,46.0,58.0,44.0,67.0,0.0
6042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,78.0,63.0,33.0,60.0,40.0,44.0,57.0,56.0,71.0,48.0,72.0,86.0,98.0,43.0,45.0,29.0,39.0,43.0,42.0,64.0,78.0,45.0,76.0,65.0,57.0,53.0,60.0,53.0,59.0,61.0,52.0,32.0,71.0,63.0,63.0,70.0,42.0,43.0,53.0,49.0,47.0,50.0,0.0
6049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,105.0,21.0,60.0,83.0,35.0,57.0,74.0,63.0,61.0,42.0,56.0,40.0,75.0,46.0,51.0,35.0,44.0,46.0,48.0,71.0,80.0,50.0,81.0,67.0,58.0,50.0,60.0,48.0,54.0,50.0,45.0,30.0,73.0,64.0,69.0,60.0,31.0,35.0,42.0,40.0,32.0,65.0,0.0
6056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,74.0,100.0,0.0,76.0,0.0,56.0,46.0,67.0,100.0,63.0,55.0,69.0,63.0,75.0,52.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214.0,0.0,0.0,0.0,232.0,0.0,0.0,0.0
6063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,63.0,50.0,37.0,63.0,61.0,61.0,46.0,66.0,79.0,39.0,80.0,67.0,87.0,39.0,40.0,28.0,43.0,44.0,43.0,70.0,77.0,47.0,77.0,66.0,58.0,49.0,58.0,50.0,53.0,47.0,52.0,32.0,73.0,65.0,55.0,66.0,36.0,47.0,48.0,48.0,65.0,69.0,0.0
6070,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,65.0,33.0,30.0,84.0,61.0,24.0,37.0,60.0,71.0,48.0,55.0,36.0,63.0,76.0,63.0,64.0,68.0,54.0,36.0,46.0,77.0,58.0,34.0,59.0,49.0,70.0,61.0,57.0,47.0,71.0,41.0,26.0,72.0,37.0,41.0,70.0,66.0,77.0,46.0,57.0,42.0,63.0,0.0
