,1969/70,1970/71,1971/72,1972/73,1973/74,1974/75,1975/76,1976/77,1977/78,1978/79,1979/80,1980/81,1981/82,1982/83,1983/84,1984/85,1985/86,1986/87,1987/88,1988/89,1989/90,1990/91,1991/92,1992/93,1993/94,1994/95,1995/96,1996/97,1997/98,1998/99,1999/00,2000/01,2001/02,2002/03,2003/04,2004/05,2005/06,2006/07,2007/08,2008/09,2009/10,2010/11,2011/12,2012/13,2013/14,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20
10007,,,,,,,,800.0,800.0,900.0,1200.0,1200.0,1408.0,1417.0,1429.0,1457.0,1500.0,1500.0,1500.0,2000.0,2000.0,2000.0,2273.0,2500.0,2500.0,2500.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10014,,,,,,,,700.0,700.0,800.0,800.0,1000.0,1100.0,1200.0,1200.0,1300.0,1400.0,1800.0,1800.0,1800.0,2000.0,2250.0,2250.0,2400.0,2250.0,2250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10021,,,,,,,,700.0,700.0,700.0,900.0,940.0,1145.0,1200.0,1300.0,1417.0,1800.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2333.0,2000.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10028,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10035,,,,,,,,700.0,700.0,700.0,700.0,940.0,1000.0,1200.0,1200.0,1300.0,1700.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2273.0,1667.0,1667.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10042,,,,,,,,600.0,600.0,600.0,800.0,800.0,1000.0,1200.0,1300.0,1300.0,1450.0,1750.0,1750.0,1875.0,1875.0,1875.0,1750.0,2500.0,2500.0,2500.0,1200.0,2833.0,3400.0,4000.0,4000.0,4000.0,4000.0,4000.0,0.0,0.0,0.0,0.0,0.0,4500.0,4500.0,4500.0,5000.0,5000.0,5000.0,5000.0,5000.0,0.0,0.0,0.0,0.0
10049,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10056,,,,,,,,600.0,600.0,600.0,1000.0,1000.0,1183.0,1248.0,1300.0,1350.0,1556.0,2228.0,2228.0,2300.0,2300.0,2300.0,1556.0,2519.0,2600.0,3067.0,3711.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4100.0,4500.0,4500.0,4500.0,4500.0,4500.0,4500.0,4500.0,4500.0,5000.0,5000.0,5000.0,5000.0,5177.0,5600.0,5600.0,5600.0,5600.0
10063,,,,,,,,800.0,800.0,800.0,800.0,800.0,1000.0,1200.0,1200.0,1308.0,1400.0,1750.0,1750.0,1800.0,1857.0,2000.0,2000.0,2000.0,2000.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10070,,,,,,,,590.0,590.0,590.0,800.0,800.0,1200.0,1200.0,1307.0,1400.0,1400.0,2000.0,2000.0,2113.0,2261.0,2326.0,2326.0,2500.0,2326.0,2326.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10077,,,,,,,,700.0,700.0,700.0,900.0,1111.0,1111.0,1200.0,1300.0,1400.0,1423.0,1944.0,1944.0,2000.0,2000.0,2086.0,1944.0,2286.0,2500.0,2781.0,2500.0,3800.0,4000.0,4000.0,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10084,,,,,,,,600.0,600.0,700.0,800.0,800.0,1000.0,1200.0,1200.0,1400.0,1667.0,2000.0,2000.0,2000.0,2000.0,2000.0,1467.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10091,,,,,,,,533.0,533.0,533.0,800.0,800.0,1000.0,1200.0,1300.0,1429.0,1700.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2400.0,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10098,,,,,,,,700.0,700.0,700.0,900.0,1000.0,1071.0,1200.0,1300.0,1460.0,2013.0,2185.0,2185.0,2294.0,2294.0,2294.0,2185.0,2455.0,2455.0,3059.0,3757.0,4000.0,4000.0,4000.0,4000.0,4000.0,4000.0,4100.0,4500.0,4500.0,4500.0,4500.0,4500.0,4500.0,4500.0,4500.0,5000.0,5000.0,5000.0,5000.0,5177.0,6000.0,6400.0,6500.0,6500.0
10105,,,,,,,,600.0,600.0,600.0,800.0,800.0,1000.0,1000.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10112,,,,,,,,700.0,700.0,700.0,800.0,800.0,1000.0,1200.0,1200.0,1400.0,1400.0,1800.0,1800.0,2000.0,2000.0,2000.0,1511.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14007,,,,,,,,1582.0,1600.0,1900.0,2000.0,1900.0,2176.0,2176.0,2400.0,2400.0,2400.0,2500.0,2750.0,2604.0,2604.0,2604.0,2750.0,2604.0,2000.0,2000.0,2000.0,3298.0,3298.0,3298.0,3514.0,4500.0,4509.0,4606.0,5000.0,5500.0,5500.0,5500.0,6300.0,6300.0,6400.0,6000.0,6000.0,4500.0,6000.0,6000.0,5500.0,5500.0,5800.0,5800.0,6500.0
14014,,,,,,,,1400.0,1750.0,1750.0,1800.0,2154.0,2200.0,2400.0,2800.0,3000.0,3000.0,3500.0,3500.0,3000.0,3000.0,0.0,0.0,0.0,0.0,4000.0,4182.0,4182.0,4500.0,4500.0,4500.0,4500.0,4533.0,5000.0,6100.0,6100.0,6250.0,6250.0,7000.0,7000.0,6000.0,6000.0,6000.0,6000.0,6200.0,6200.0,6500.0,7000.0,7900.0,7900.0,8000.0
14021,,,,,,,,1244.0,1400.0,1650.0,2500.0,2500.0,2562.0,2615.0,3000.0,3232.0,3700.0,3700.0,3700.0,3570.0,3570.0,3570.0,3570.0,3570.0,3600.0,4000.0,4000.0,4000.0,4000.0,4200.0,4000.0,4000.0,4000.0,5200.0,5800.0,5800.0,6100.0,6200.0,6300.0,6500.0,6300.0,6300.0,6300.0,6500.0,6500.0,6500.0,7200.0,7200.0,7500.0,7500.0,7500.0
