,1969/70,1970/71,1971/72,1972/73,1973/74,1974/75,1975/76,1976/77,1977/78,1978/79,1979/80,1980/81,1983/84,1984/85,1985/86,1986/87,1987/88,1981/82,1982/83,1989/90,1990/91,1991/92,1992/93,1993/94,1994/95,1995/96,1996/97,1997/98,1988/89,1998/99,1999/00,2008/09,2017/18,2000/01,2001/02,2002/03,2003/04,2004/05,2009/10,2010/11,2011/12,2005/06,2006/07,2007/08,2012/13,2013/14,2014/15,2015/16,2016/17,2018/19,2019/20
6854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5007.0,4968.0,5016.0,5036.0,4997.0,5002.0,5000.0,5009.0,5011.0,5010.0,4996.0,5006.0,4987.0,4995.0,4993.0,5014.0,5004.0,4988.0,5017.0,4999.0,4998.0,4999.0,5014.0,5020.0,5041.0,5006.0,5016.0,5016.0,5017.0,4991.0,4969.0,5005.0,5003.0,4992.0,4995.0,4994.0,5014.0,5009.0,5001.0,4977.0,5007.0,4950.0
6014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5026.0,4985.0,5033.0,4978.0,5020.0,5012.0,4994.0,5000.0,5002.0,4993.0,5031.0,4994.0,4991.0,4988.0,5004.0,5023.0,4991.0,5006.0,5004.0,4972.0,5028.0,4997.0,5014.0,5000.0,4991.0,4990.0,5027.0,5000.0,4990.0,5003.0,4950.0
6021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4993.0,5025.0,5019.0,5003.0,5013.0,4991.0,5012.0,5005.0,5014.0,4993.0,4998.0,5000.0,4993.0,4983.0,4989.0,4992.0,4990.0,5005.0,5017.0,5037.0,4995.0,5021.0,5027.0,5025.0,5004.0,5014.0,5009.0,5009.0,4999.0,4960.0,5003.0,4989.0,4997.0,5002.0,5006.0,5015.0,5004.0,5003.0,4978.0,5004.0,4950.0
6028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5016.0,5038.0,5023.0,5041.0,5004.0,5005.0,4969.0,5007.0,4999.0,5002.0,4999.0,4999.0,4995.0,5013.0,5006.0,5006.0,4996.0,4990.0,4999.0,5002.0,4986.0,5017.0,5017.0,4990.0,5019.0,5011.0,5009.0,5003.0,5006.0,5010.0,5003.0,4996.0,4969.0,5004.0,5001.0,4994.0,5000.0,5003.0,5010.0,5003.0,5002.0,4985.0,5005.0,4950.0
6042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,5008.0,4994.0,5008.0,4998.0,5001.0,5026.0,5002.0,5007.0,5010.0,5000.0,5011.0,5010.0,5004.0,4992.0,4975.0,5018.0,4998.0,5004.0,5009.0,5015.0,5003.0,5003.0,5005.0,5004.0,5001.0,4950.0
6049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5025.0,5008.0,5019.0,5011.0,5005.0,4986.0,4997.0,5000.0,4992.0,5002.0,4995.0,5000.0,5023.0,4998.0,5010.0,5009.0,4997.0,5000.0,4995.0,5002.0,4981.0,4973.0,5010.0,5000.0,5006.0,4995.0,4988.0,5004.0,5007.0,5003.0,4987.0,5004.0,4950.0
6056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5033.0,5005.0,5011.0,5000.0,5002.0,4987.0,4995.0,4997.0,4992.0,5002.0,4997.0,4997.0,5025.0,5000.0,5015.0,5011.0,5004.0,4994.0,4989.0,4996.0,4988.0,4973.0,5010.0,5001.0,5002.0,5004.0,4993.0,4999.0,5012.0,5006.0,5002.0,5002.0,4950.0
6070,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5038.0,5014.0,5006.0,5009.0,5009.0,4993.0,5014.0,4998.0,5010.0,5000.0,4998.0,5004.0,5012.0,5010.0,5008.0,5003.0,4983.0,4991.0,4992.0,4964.0,5010.0,5018.0,4984.0,5023.0,5014.0,5015.0,5004.0,5001.0,5004.0,5004.0,4999.0,4975.0,5008.0,5004.0,4995.0,4998.0,5006.0,5022.0,5008.0,5003.0,4984.0,5001.0,4950.0
